GridID,X_Lon,Y_Lat,M8H_O3
203,110.05,19.35,64.0
204,110.15,19.35,58.0
205,110.25,19.35,54.0
206,110.35,19.35,55.0
207,110.45,19.35,54.0
208,110.55,19.35,56.0
209,110.65,19.35,57.0
210,108.85,19.45,82.0
211,108.95,19.45,80.0
212,109.05,19.45,74.0
213,109.15,19.45,69.0
214,109.25,19.45,67.0
215,109.35,19.45,67.0
216,109.45,19.45,66.0
217,109.55,19.45,66.0
218,109.65,19.45,67.0
219,109.75,19.45,66.0
220,109.85,19.45,65.0
221,109.95,19.45,65.0
222,110.05,19.45,65.0
223,110.15,19.45,65.0
224,110.25,19.45,56.0
225,110.35,19.45,54.0
226,110.45,19.45,54.0
227,110.55,19.45,56.0
228,110.65,19.45,57.0
229,110.75,19.45,58.0
230,108.95,19.55,83.0
231,109.05,19.55,81.0
232,109.15,19.55,72.0
233,109.25,19.55,70.0
234,109.35,19.55,68.0
235,109.45,19.55,67.0
236,109.55,19.55,67.0
237,109.65,19.55,65.0
238,109.75,19.55,66.0
239,109.85,19.55,67.0
240,109.95,19.55,66.0
241,110.05,19.55,66.0
242,110.15,19.55,66.0
243,110.25,19.55,59.0
244,110.35,19.55,57.0
245,110.45,19.55,55.0
246,110.55,19.55,56.0
247,110.65,19.55,56.0
248,110.75,19.55,57.0
249,110.85,19.55,61.0
251,109.15,19.65,78.0
252,109.25,19.65,73.0
253,109.35,19.65,69.0
254,109.45,19.65,68.0
255,109.55,19.65,68.0
256,109.65,19.65,66.0
257,109.75,19.65,66.0
258,109.85,19.65,66.0
259,109.95,19.65,68.0
260,110.05,19.65,65.0
261,110.15,19.65,60.0
262,110.25,19.65,60.0
263,110.35,19.65,59.0
264,110.45,19.65,58.0
265,110.55,19.65,58.0
266,110.65,19.65,57.0
267,110.75,19.65,60.0
268,110.85,19.65,63.0
269,110.95,19.65,68.0
270,111.05,19.65,74.0
271,109.15,19.75,83.0
272,109.25,19.75,79.0
273,109.35,19.75,77.0
274,109.45,19.75,71.0
275,109.55,19.75,69.0
276,109.65,19.75,68.0
277,109.75,19.75,66.0
278,109.85,19.75,65.0
279,109.95,19.75,64.0
280,110.05,19.75,63.0
281,110.15,19.75,61.0
282,110.25,19.75,62.0
283,110.35,19.75,61.0
284,110.45,19.75,62.0
285,110.55,19.75,62.0
286,110.65,19.75,64.0
287,110.75,19.75,62.0
288,110.85,19.75,64.0
289,110.95,19.75,66.0
291,109.25,19.85,80.0
292,109.35,19.85,79.0
293,109.45,19.85,76.0
294,109.55,19.85,74.0
295,109.65,19.85,71.0
296,109.75,19.85,69.0
297,109.85,19.85,68.0
298,109.95,19.85,70.0
299,110.05,19.85,70.0
300,110.15,19.85,67.0
301,110.25,19.85,65.0
302,110.35,19.85,66.0
303,110.45,19.85,67.0
304,110.55,19.85,70.0
305,110.65,19.85,72.0
306,110.75,19.85,66.0
307,110.85,19.85,64.0
308,110.95,19.85,67.0
309,109.55,19.95,78.0
310,109.65,19.95,73.0
311,109.75,19.95,71.0
312,109.85,19.95,71.0
313,109.95,19.95,73.0
314,110.05,19.95,72.0
315,110.15,19.95,69.0
316,110.25,19.95,68.0
317,110.35,19.95,70.0
318,110.45,19.95,72.0
319,110.55,19.95,77.0
320,110.65,19.95,75.0
321,110.75,19.95,72.0
322,110.85,19.95,69.0
323,110.95,19.95,68.0
324,110.15,20.05,72.0
325,110.25,20.05,78.0
